chrBase	chr	base	strand	coverage	freqC	freqT
7.57952	7	57952	R	8	62.50	37.50
7.18382	7	18382	R	9	88.89	11.11
7.15836	7	15836	F	5	20.00	80.00
7.60227	7	60227	R	6	100.00	0.00
7.13369	7	13369	F	5	20.00	80.00
7.16817	7	16817	F	12	0.00	100.00
7.15313	7	15313	F	8	37.50	62.50
7.11655	7	11655	F	7	71.43	28.57
7.21079	7	21079	R	5	100.00	0.00
7.13252	7	13252	F	5	40.00	60.00
7.62702	7	62702	F	5	0.00	100.00
7.26303	7	26303	R	5	0.00	100.00
7.20645	7	20645	R	6	83.33	16.67
7.27533	7	27533	R	5	100.00	0.00
7.56113	7	56113	R	6	83.33	16.67
7.36395	7	36395	R	5	0.00	100.00
7.14113	7	14113	F	5	60.00	40.00
7.21057	7	21057	R	9	88.89	11.11
7.46629	7	46629	R	7	85.71	14.29
7.13483	7	13483	F	6	33.33	66.67
7.30742	7	30742	R	5	0.00	100.00
7.16839	7	16839	F	9	22.22	77.78
7.36523	7	36523	R	9	0.00	100.00
7.26147	7	26147	R	5	20.00	80.00
7.14253	7	14253	R	6	50.00	50.00
7.58695	7	58695	R	5	100.00	0.00
7.49952	7	49952	F	5	80.00	20.00
7.42153	7	42153	R	7	85.71	14.29
7.36460	7	36460	R	5	0.00	100.00
7.26243	7	26243	R	6	100.00	0.00
7.15416	7	15416	F	5	20.00	80.00
7.16975	7	16975	R	8	87.50	12.50
7.58672	7	58672	R	7	100.00	0.00
7.26971	7	26971	F	8	87.50	12.50
7.17057	7	17057	R	6	33.33	66.67
7.26997	7	26997	R	5	100.00	0.00
7.55272	7	55272	R	5	80.00	20.00
7.19050	7	19050	F	7	71.43	28.57
7.44568	7	44568	R	5	80.00	20.00
7.13530	7	13530	F	8	25.00	75.00
7.54273	7	54273	F	5	60.00	40.00
7.16803	7	16803	F	10	0.00	100.00
7.19039	7	19039	F	7	85.71	14.29
7.20602	7	20602	R	6	50.00	50.00
7.31453	7	31453	R	5	80.00	20.00
7.21423	7	21423	R	9	88.89	11.11
7.42250	7	42250	F	11	81.82	18.18
7.40488	7	40488	F	13	69.23	30.77
7.37299	7	37299	R	6	16.67	83.33
7.42715	7	42715	F	5	60.00	40.00
7.51118	7	51118	R	10	70.00	30.00
7.52152	7	52152	R	6	83.33	16.67
7.36582	7	36582	R	10	0.00	100.00
7.43003	7	43003	F	7	71.43	28.57
7.38901	7	38901	R	6	83.33	16.67
7.46289	7	46289	R	9	100.00	0.00
7.44113	7	44113	R	5	20.00	80.00
7.40529	7	40529	R	5	100.00	0.00
7.13488	7	13488	F	6	16.67	83.33
7.40144	7	40144	R	8	37.50	62.50
7.36340	7	36340	R	6	33.33	66.67
7.33978	7	33978	F	5	80.00	20.00
7.44487	7	44487	F	10	100.00	0.00
7.20310	7	20310	F	10	80.00	20.00
7.18465	7	18465	R	6	83.33	16.67
7.52140	7	52140	R	6	83.33	16.67
7.37166	7	37166	R	5	0.00	100.00
7.46951	7	46951	F	8	50.00	50.00
7.36376	7	36376	R	7	14.29	85.71
7.38310	7	38310	F	9	100.00	0.00
7.32490	7	32490	F	15	73.33	26.67
7.27478	7	27478	F	9	77.78	22.22
7.56256	7	56256	R	6	100.00	0.00
7.14071	7	14071	F	7	71.43	28.57
7.52085	7	52085	R	5	60.00	40.00
7.52940	7	52940	R	6	33.33	66.67
7.26992	7	26992	R	7	57.14	42.86
7.45703	7	45703	F	11	72.73	27.27
7.57680	7	57680	F	6	50.00	50.00
7.27532	7	27532	F	7	85.71	14.29
7.22788	7	22788	R	8	62.50	37.50
7.60570	7	60570	R	5	100.00	0.00
7.60581	7	60581	R	6	100.00	0.00
7.15341	7	15341	F	5	20.00	80.00
7.16088	7	16088	F	6	0.00	100.00
7.59063	7	59063	R	6	100.00	0.00
7.14239	7	14239	R	5	40.00	60.00
7.13947	7	13947	F	7	71.43	28.57
7.18120	7	18120	R	5	100.00	0.00
7.27479	7	27479	R	9	88.89	11.11
7.59658	7	59658	F	5	60.00	40.00
7.22383	7	22383	F	5	80.00	20.00
7.16986	7	16986	R	6	100.00	0.00
7.19948	7	19948	R	5	100.00	0.00
7.42131	7	42131	F	6	50.00	50.00
7.59677	7	59677	R	9	88.89	11.11
7.14219	7	14219	R	6	16.67	83.33
7.52230	7	52230	F	13	92.31	7.69
7.15444	7	15444	F	5	20.00	80.00
7.12583	7	12583	F	7	57.14	42.86
7.34495	7	34495	R	7	0.00	100.00
7.18437	7	18437	R	8	100.00	0.00
7.38196	7	38196	F	6	83.33	16.67
7.59641	7	59641	R	6	66.67	33.33
7.36624	7	36624	R	10	10.00	90.00
7.17274	7	17274	R	5	100.00	0.00
7.37170	7	37170	R	5	0.00	100.00
7.20341	7	20341	F	9	55.56	44.44
7.58646	7	58646	R	10	90.00	10.00
7.16885	7	16885	F	7	28.57	71.43
7.13320	7	13320	F	5	40.00	60.00
7.51556	7	51556	R	10	80.00	20.00
7.15255	7	15255	F	6	16.67	83.33
7.47652	7	47652	R	5	100.00	0.00
7.29695	7	29695	R	11	63.64	36.36
7.13926	7	13926	F	7	57.14	42.86
7.17448	7	17448	R	14	100.00	0.00
7.42752	7	42752	F	7	85.71	14.29
7.59800	7	59800	R	5	60.00	40.00
7.36612	7	36612	R	11	0.00	100.00
7.32513	7	32513	F	14	78.57	21.43
7.36330	7	36330	R	5	0.00	100.00
7.20342	7	20342	R	5	80.00	20.00
7.11012	7	11012	F	9	55.56	44.44
7.50195	7	50195	R	8	50.00	50.00
7.40414	7	40414	F	6	83.33	16.67
7.45775	7	45775	R	9	100.00	0.00
7.54777	7	54777	R	6	83.33	16.67
7.26377	7	26377	R	5	60.00	40.00
7.22234	7	22234	F	6	100.00	0.00
7.20897	7	20897	R	7	100.00	0.00
7.19725	7	19725	R	9	100.00	0.00
7.40585	7	40585	F	10	100.00	0.00
7.38458	7	38458	R	11	72.73	27.27
7.27553	7	27553	F	8	75.00	25.00
7.20162	7	20162	F	9	66.67	33.33
7.15339	7	15339	F	6	33.33	66.67
7.29062	7	29062	R	6	66.67	33.33
7.46102	7	46102	R	16	75.00	25.00
7.14234	7	14234	R	5	40.00	60.00
7.54788	7	54788	R	7	71.43	28.57
7.16032	7	16032	F	5	40.00	60.00
7.13341	7	13341	F	5	20.00	80.00
7.45273	7	45273	F	7	100.00	0.00
7.59253	7	59253	F	6	83.33	16.67
7.31850	7	31850	R	14	85.71	14.29
7.15396	7	15396	F	5	20.00	80.00
7.16789	7	16789	F	6	0.00	100.00
7.59074	7	59074	R	7	71.43	28.57
7.49032	7	49032	F	6	33.33	66.67
7.20845	7	20845	R	12	75.00	25.00
7.55423	7	55423	R	7	71.43	28.57
7.20159	7	20159	F	9	66.67	33.33
7.13595	7	13595	F	6	0.00	100.00
7.19886	7	19886	R	11	72.73	27.27
7.55235	7	55235	R	6	16.67	83.33
7.38353	7	38353	F	7	71.43	28.57
7.46310	7	46310	R	10	100.00	0.00
7.19863	7	19863	R	8	25.00	75.00
7.39607	7	39607	R	5	80.00	20.00
7.17010	7	17010	R	8	75.00	25.00
7.40905	7	40905	R	9	88.89	11.11
7.52980	7	52980	R	7	57.14	42.86
7.33804	7	33804	R	12	66.67	33.33
7.56112	7	56112	F	7	71.43	28.57
7.27689	7	27689	F	7	85.71	14.29
7.19054	7	19054	F	7	85.71	14.29
7.44782	7	44782	F	7	85.71	14.29
7.36401	7	36401	R	6	0.00	100.00
7.14135	7	14135	F	5	80.00	20.00
7.14085	7	14085	F	7	100.00	0.00
7.19082	7	19082	F	9	100.00	0.00
7.58611	7	58611	R	8	62.50	37.50
7.10418	7	10418	F	22	72.73	27.27
7.27724	7	27724	F	8	100.00	0.00
7.31635	7	31635	F	5	40.00	60.00
7.61298	7	61298	R	6	33.33	66.67
7.49455	7	49455	F	9	55.56	44.44
7.28312	7	28312	R	7	28.57	71.43
7.12262	7	12262	R	5	60.00	40.00
7.41286	7	41286	R	5	60.00	40.00
7.52341	7	52341	F	11	45.45	54.55
7.60253	7	60253	R	7	85.71	14.29
7.61387	7	61387	R	5	20.00	80.00
7.59262	7	59262	R	7	85.71	14.29
7.13356	7	13356	F	5	80.00	20.00
7.40143	7	40143	F	8	12.50	87.50
7.22390	7	22390	F	5	60.00	40.00
7.57681	7	57681	R	6	83.33	16.67
7.52642	7	52642	R	11	45.45	54.55
7.56137	7	56137	R	6	66.67	33.33
7.20566	7	20566	R	5	60.00	40.00
7.33892	7	33892	F	6	0.00	100.00
7.54908	7	54908	R	7	71.43	28.57
7.56533	7	56533	R	10	40.00	60.00
7.55531	7	55531	R	11	90.91	9.09
7.45610	7	45610	R	6	100.00	0.00
7.36651	7	36651	R	8	0.00	100.00
7.59659	7	59659	R	10	90.00	10.00
7.13267	7	13267	F	5	40.00	60.00
7.34090	7	34090	R	5	20.00	80.00
7.49961	7	49961	R	10	80.00	20.00
7.13552	7	13552	F	7	28.57	71.43
7.50350	7	50350	F	5	0.00	100.00
7.60235	7	60235	R	5	20.00	80.00
7.55958	7	55958	R	11	81.82	18.18
7.30812	7	30812	R	5	0.00	100.00
7.45774	7	45774	F	11	72.73	27.27
7.20935	7	20935	R	7	100.00	0.00
7.57542	7	57542	F	7	28.57	71.43
7.15249	7	15249	F	6	16.67	83.33
7.38147	7	38147	F	6	66.67	33.33
7.19112	7	19112	F	8	87.50	12.50
7.44753	7	44753	F	8	75.00	25.00
7.17054	7	17054	R	6	83.33	16.67
7.36546	7	36546	F	6	16.67	83.33
7.19119	7	19119	F	8	87.50	12.50
7.39651	7	39651	R	6	50.00	50.00
7.54610	7	54610	R	8	75.00	25.00
7.14255	7	14255	R	6	0.00	100.00
7.30794	7	30794	R	6	0.00	100.00
7.13725	7	13725	F	5	80.00	20.00
7.38354	7	38354	R	6	66.67	33.33
7.60788	7	60788	F	6	33.33	66.67
7.13474	7	13474	F	7	28.57	71.43
7.54258	7	54258	F	6	83.33	16.67
7.23759	7	23759	F	7	85.71	14.29
7.15297	7	15297	F	9	33.33	66.67
7.17264	7	17264	R	5	0.00	100.00
7.17045	7	17045	R	6	33.33	66.67
7.46422	7	46422	F	5	40.00	60.00
7.44378	7	44378	R	10	80.00	20.00
7.20889	7	20889	R	8	100.00	0.00
7.13580	7	13580	F	5	80.00	20.00
7.39852	7	39852	R	10	80.00	20.00
7.13348	7	13348	F	5	60.00	40.00
7.49099	7	49099	F	8	87.50	12.50
7.26991	7	26991	F	7	85.71	14.29
7.10894	7	10894	F	5	80.00	20.00
7.15305	7	15305	F	8	37.50	62.50
7.50407	7	50407	F	5	80.00	20.00
7.46661	7	46661	R	14	78.57	21.43
7.44123	7	44123	R	6	33.33	66.67
7.40959	7	40959	R	11	90.91	9.09
7.17401	7	17401	R	11	54.55	45.45
7.31632	7	31632	R	6	100.00	0.00
7.15241	7	15241	F	7	14.29	85.71
7.45602	7	45602	R	6	100.00	0.00
7.20816	7	20816	R	10	40.00	60.00
7.14015	7	14015	F	6	50.00	50.00
7.57307	7	57307	R	10	50.00	50.00
7.21367	7	21367	R	10	80.00	20.00
7.37172	7	37172	R	5	0.00	100.00
7.36328	7	36328	R	5	0.00	100.00
7.53251	7	53251	R	5	80.00	20.00
7.13231	7	13231	F	6	100.00	0.00
7.51571	7	51571	R	10	70.00	30.00
7.13524	7	13524	F	7	14.29	85.71
7.59640	7	59640	F	5	60.00	40.00
7.38665	7	38665	R	6	100.00	0.00
7.21064	7	21064	R	6	83.33	16.67
7.53008	7	53008	R	9	88.89	11.11
7.31925	7	31925	R	8	100.00	0.00
7.17677	7	17677	R	14	42.86	57.14
7.13228	7	13228	F	6	16.67	83.33
7.17529	7	17529	R	15	80.00	20.00
7.41063	7	41063	R	13	84.62	15.38
7.50403	7	50403	R	7	42.86	57.14
7.57525	7	57525	F	6	83.33	16.67
7.27209	7	27209	R	9	66.67	33.33
7.19791	7	19791	R	5	60.00	40.00
7.55158	7	55158	R	8	0.00	100.00
7.13945	7	13945	F	7	100.00	0.00
7.19367	7	19367	F	8	75.00	25.00
7.58443	7	58443	R	5	100.00	0.00
7.33893	7	33893	R	11	9.09	90.91
7.20237	7	20237	F	9	77.78	22.22
7.20311	7	20311	R	5	100.00	0.00
7.12824	7	12824	R	5	100.00	0.00
7.33381	7	33381	R	7	71.43	28.57
7.35399	7	35399	F	6	100.00	0.00
7.46410	7	46410	R	5	80.00	20.00
7.11042	7	11042	F	7	57.14	42.86
7.20422	7	20422	R	6	83.33	16.67
7.36372	7	36372	R	7	28.57	71.43
7.60580	7	60580	F	7	85.71	14.29
7.16038	7	16038	F	5	40.00	60.00
7.21138	7	21138	R	6	100.00	0.00
7.21040	7	21040	R	10	100.00	0.00
7.55045	7	55045	R	9	77.78	22.22
7.12231	7	12231	R	7	57.14	42.86
7.42959	7	42959	F	7	71.43	28.57
7.33636	7	33636	R	12	75.00	25.00
7.36634	7	36634	R	10	0.00	100.00
7.14262	7	14262	R	6	33.33	66.67
7.16867	7	16867	F	9	66.67	33.33
7.52084	7	52084	F	6	16.67	83.33
7.15361	7	15361	F	7	14.29	85.71
7.58477	7	58477	R	11	63.64	36.36
7.15864	7	15864	F	5	20.00	80.00
7.60399	7	60399	R	5	100.00	0.00
7.32521	7	32521	F	12	25.00	75.00
7.13208	7	13208	F	6	16.67	83.33
7.43006	7	43006	F	7	100.00	0.00
7.23690	7	23690	R	8	50.00	50.00
7.40055	7	40055	R	7	85.71	14.29
7.30744	7	30744	R	7	0.00	100.00
7.60644	7	60644	R	8	87.50	12.50
7.28925	7	28925	R	5	80.00	20.00
7.35531	7	35531	F	6	83.33	16.67
7.22787	7	22787	F	5	80.00	20.00
7.33616	7	33616	R	11	90.91	9.09
7.41190	7	41190	R	8	37.50	62.50
7.44122	7	44122	F	5	80.00	20.00
7.20456	7	20456	F	7	100.00	0.00
7.21365	7	21365	R	10	90.00	10.00
7.16920	7	16920	F	5	100.00	0.00
7.58762	7	58762	R	5	20.00	80.00
7.27096	7	27096	F	5	80.00	20.00
7.58542	7	58542	R	14	100.00	0.00
7.30800	7	30800	R	5	0.00	100.00
7.54776	7	54776	F	5	60.00	40.00
7.13544	7	13544	F	8	25.00	75.00
7.17501	7	17501	R	12	33.33	66.67
7.36414	7	36414	R	6	33.33	66.67
7.21086	7	21086	R	5	100.00	0.00
7.21109	7	21109	R	9	88.89	11.11
7.19209	7	19209	F	10	30.00	70.00
7.23760	7	23760	R	6	66.67	33.33
7.16060	7	16060	F	5	40.00	60.00
7.36347	7	36347	R	7	0.00	100.00
7.36503	7	36503	F	6	16.67	83.33
7.18310	7	18310	R	8	75.00	25.00
7.13940	7	13940	R	5	80.00	20.00
7.10409	7	10409	F	18	38.89	61.11
7.61287	7	61287	R	6	66.67	33.33
7.20210	7	20210	F	10	90.00	10.00
7.45554	7	45554	F	5	100.00	0.00
7.53216	7	53216	R	7	71.43	28.57
7.17790	7	17790	R	17	76.47	23.53
7.16886	7	16886	R	6	33.33	66.67
7.12812	7	12812	R	5	20.00	80.00
7.20892	7	20892	R	8	100.00	0.00
7.23756	7	23756	F	7	100.00	0.00
7.62721	7	62721	F	5	0.00	100.00
7.45319	7	45319	F	7	28.57	71.43
7.53670	7	53670	R	5	100.00	0.00
7.56744	7	56744	R	5	40.00	60.00
7.13918	7	13918	F	6	100.00	0.00
7.14051	7	14051	F	9	66.67	33.33
7.22315	7	22315	F	5	100.00	0.00
7.28134	7	28134	R	7	71.43	28.57
7.27074	7	27074	F	5	40.00	60.00
7.13362	7	13362	F	5	60.00	40.00
7.20861	7	20861	R	10	90.00	10.00
7.13939	7	13939	F	7	100.00	0.00
7.46423	7	46423	R	6	66.67	33.33
7.16045	7	16045	F	5	20.00	80.00
7.20594	7	20594	R	5	40.00	60.00
7.21135	7	21135	R	5	100.00	0.00
7.37720	7	37720	R	6	0.00	100.00
7.16819	7	16819	F	11	0.00	100.00
7.40560	7	40560	R	5	60.00	40.00
7.46309	7	46309	F	5	80.00	20.00
7.60612	7	60612	R	5	60.00	40.00
7.15318	7	15318	F	8	37.50	62.50
7.33446	7	33446	R	5	60.00	40.00
7.13648	7	13648	F	6	50.00	50.00
7.31923	7	31923	R	8	100.00	0.00
7.16047	7	16047	F	6	33.33	66.67
7.16781	7	16781	F	6	0.00	100.00
7.59247	7	59247	F	5	100.00	0.00
7.14178	7	14178	R	5	0.00	100.00
7.40646	7	40646	F	7	71.43	28.57
7.59535	7	59535	R	9	88.89	11.11
7.32665	7	32665	F	9	66.67	33.33
7.52342	7	52342	R	10	60.00	40.00
7.20380	7	20380	R	5	80.00	20.00
7.13912	7	13912	F	5	100.00	0.00
7.39579	7	39579	F	5	80.00	20.00
7.18045	7	18045	R	8	100.00	0.00
7.46136	7	46136	R	14	92.86	7.14
7.36650	7	36650	F	6	16.67	83.33
7.29716	7	29716	R	9	55.56	44.44
7.31583	7	31583	R	5	40.00	60.00
7.15257	7	15257	F	5	20.00	80.00
7.16859	7	16859	F	9	11.11	88.89
7.10506	7	10506	F	32	15.62	84.38
7.41486	7	41486	F	6	83.33	16.67
7.15850	7	15850	F	5	20.00	80.00
7.56100	7	56100	R	6	83.33	16.67
7.20461	7	20461	F	7	100.00	0.00
7.57180	7	57180	F	5	20.00	80.00
7.52231	7	52231	R	5	80.00	20.00
7.26996	7	26996	F	7	57.14	42.86
7.57091	7	57091	R	6	100.00	0.00
7.49202	7	49202	F	5	20.00	80.00
7.40752	7	40752	F	5	40.00	60.00
7.38626	7	38626	R	5	80.00	20.00
7.26972	7	26972	R	8	100.00	0.00
7.36322	7	36322	R	5	0.00	100.00
7.60611	7	60611	F	6	100.00	0.00
7.62708	7	62708	F	6	0.00	100.00
7.20644	7	20644	F	5	60.00	40.00
7.21022	7	21022	R	9	77.78	22.22
7.55592	7	55592	R	7	100.00	0.00
7.52333	7	52333	R	9	33.33	66.67
7.15229	7	15229	F	5	40.00	60.00
