chrBase	chr	base	strand	coverage	freqC	freqT
7.13496	7	13496	F	16	31.25	68.75
7.62188	7	62188	R	8	12.50	87.50
7.16066	7	16066	F	13	0.00	100.00
7.16067	7	16067	R	7	14.29	85.71
7.16284	7	16284	F	13	15.38	84.62
7.55670	7	55670	F	5	80.00	20.00
7.61753	7	61753	R	6	83.33	16.67
7.13539	7	13539	F	17	23.53	76.47
7.14522	7	14522	R	7	0.00	100.00
7.15284	7	15284	R	7	14.29	85.71
7.16116	7	16116	F	11	0.00	100.00
7.17705	7	17705	R	26	80.77	19.23
7.36686	7	36686	F	5	0.00	100.00
7.62192	7	62192	R	8	25.00	75.00
7.37006	7	37006	R	6	0.00	100.00
7.57083	7	57083	R	8	87.50	12.50
7.20059	7	20059	R	5	80.00	20.00
7.60570	7	60570	R	18	94.44	5.56
7.15768	7	15768	R	9	0.00	100.00
7.13116	7	13116	R	10	60.00	40.00
7.33804	7	33804	R	9	100.00	0.00
7.14626	7	14626	R	6	33.33	66.67
7.26992	7	26992	R	7	85.71	14.29
7.15137	7	15137	F	8	12.50	87.50
7.21118	7	21118	R	19	94.74	5.26
7.13316	7	13316	R	8	37.50	62.50
7.15708	7	15708	F	18	5.56	94.44
7.16346	7	16346	F	9	0.00	100.00
7.36997	7	36997	F	6	0.00	100.00
7.53669	7	53669	F	7	71.43	28.57
7.58826	7	58826	F	8	37.50	62.50
7.13504	7	13504	F	18	22.22	77.78
7.15901	7	15901	R	5	0.00	100.00
7.16160	7	16160	R	9	0.00	100.00
7.14872	7	14872	F	11	9.09	90.91
7.40529	7	40529	R	7	100.00	0.00
7.52342	7	52342	R	16	68.75	31.25
7.23690	7	23690	R	5	0.00	100.00
7.14080	7	14080	R	8	75.00	25.00
7.16264	7	16264	F	14	7.14	92.86
7.25623	7	25623	R	35	0.00	100.00
7.55592	7	55592	R	9	88.89	11.11
7.54610	7	54610	R	12	83.33	16.67
7.11655	7	11655	F	5	40.00	60.00
7.54777	7	54777	R	11	90.91	9.09
7.14421	7	14421	F	13	46.15	53.85
