chrBase	chr	base	strand	coverage	freqC	freqT
7.52642	7	52642	R	8	25.00	75.00
7.13843	7	13843	F	7	28.57	71.43
7.17274	7	17274	R	6	100.00	0.00
7.54191	7	54191	R	5	80.00	20.00
7.14899	7	14899	R	5	0.00	100.00
7.15878	7	15878	R	5	0.00	100.00
7.24307	7	24307	F	6	66.67	33.33
7.29964	7	29964	R	6	33.33	66.67
7.11088	7	11088	F	13	76.92	23.08
7.49779	7	49779	R	9	55.56	44.44
7.20892	7	20892	R	7	71.43	28.57
7.38512	7	38512	R	12	83.33	16.67
7.36110	7	36110	F	8	0.00	100.00
7.16045	7	16045	F	6	0.00	100.00
7.29327	7	29327	R	6	100.00	0.00
7.14024	7	14024	R	6	83.33	16.67
7.21093	7	21093	F	5	100.00	0.00
7.21522	7	21522	R	8	87.50	12.50
7.13862	7	13862	F	7	71.43	28.57
7.16032	7	16032	F	6	0.00	100.00
7.30812	7	30812	R	8	0.00	100.00
7.26202	7	26202	R	7	85.71	14.29
7.59936	7	59936	R	12	91.67	8.33
7.13954	7	13954	F	6	33.33	66.67
7.13955	7	13955	R	7	28.57	71.43
7.22788	7	22788	R	6	33.33	66.67
7.53772	7	53772	F	5	60.00	40.00
7.40605	7	40605	R	6	83.33	16.67
7.21072	7	21072	R	9	88.89	11.11
7.13681	7	13681	F	5	60.00	40.00
7.43449	7	43449	R	11	72.73	27.27
7.31253	7	31253	R	10	30.00	70.00
7.14393	7	14393	F	10	20.00	80.00
7.14697	7	14697	F	5	0.00	100.00
7.13544	7	13544	F	8	50.00	50.00
7.13320	7	13320	F	7	14.29	85.71
7.61753	7	61753	R	6	83.33	16.67
7.36247	7	36247	R	5	20.00	80.00
7.44487	7	44487	F	5	100.00	0.00
7.20845	7	20845	R	14	78.57	21.43
7.14304	7	14304	R	5	40.00	60.00
7.14204	7	14204	F	9	33.33	66.67
7.37931	7	37931	R	6	50.00	50.00
7.54199	7	54199	R	6	83.33	16.67
7.30852	7	30852	R	9	0.00	100.00
7.57578	7	57578	R	6	100.00	0.00
7.43272	7	43272	R	14	85.71	14.29
7.30603	7	30603	R	6	0.00	100.00
7.21079	7	21079	R	11	90.91	9.09
7.15255	7	15255	F	5	40.00	60.00
7.30632	7	30632	R	7	0.00	100.00
7.18031	7	18031	R	9	77.78	22.22
7.18108	7	18108	R	7	71.43	28.57
7.13474	7	13474	F	7	28.57	71.43
7.30887	7	30887	R	6	0.00	100.00
7.44782	7	44782	F	6	100.00	0.00
7.40242	7	40242	R	11	36.36	63.64
7.13645	7	13645	F	6	33.33	66.67
7.37892	7	37892	R	7	0.00	100.00
7.45412	7	45412	F	5	100.00	0.00
7.39580	7	39580	R	5	80.00	20.00
7.19082	7	19082	F	7	71.43	28.57
7.59535	7	59535	R	7	71.43	28.57
7.36506	7	36506	R	6	0.00	100.00
7.51231	7	51231	R	14	21.43	78.57
7.32490	7	32490	F	8	75.00	25.00
7.13648	7	13648	F	6	16.67	83.33
7.42960	7	42960	R	8	87.50	12.50
7.13616	7	13616	F	8	37.50	62.50
7.33446	7	33446	R	9	77.78	22.22
7.50195	7	50195	R	6	33.33	66.67
7.16985	7	16985	F	5	100.00	0.00
7.36131	7	36131	F	9	0.00	100.00
7.31453	7	31453	R	5	100.00	0.00
7.40202	7	40202	R	7	42.86	57.14
7.15241	7	15241	F	5	20.00	80.00
7.30383	7	30383	R	6	0.00	100.00
7.12142	7	12142	F	6	50.00	50.00
7.15982	7	15982	F	5	0.00	100.00
7.31102	7	31102	R	6	0.00	100.00
7.19091	7	19091	F	6	83.33	16.67
7.55671	7	55671	R	7	85.71	14.29
7.34673	7	34673	R	8	0.00	100.00
7.36133	7	36133	F	9	22.22	77.78
7.13580	7	13580	F	7	28.57	71.43
7.13449	7	13449	R	6	33.33	66.67
7.45554	7	45554	F	10	100.00	0.00
7.20645	7	20645	R	6	83.33	16.67
7.14310	7	14310	R	5	60.00	40.00
7.14565	7	14565	R	5	40.00	60.00
7.13054	7	13054	F	5	60.00	40.00
7.14142	7	14142	R	5	60.00	40.00
7.50961	7	50961	R	5	80.00	20.00
7.13948	7	13948	R	8	25.00	75.00
7.62124	7	62124	R	5	0.00	100.00
7.14914	7	14914	R	6	66.67	33.33
7.40529	7	40529	R	5	80.00	20.00
7.17550	7	17550	R	9	77.78	22.22
7.14592	7	14592	F	6	33.33	66.67
7.15843	7	15843	R	5	0.00	100.00
7.13913	7	13913	R	5	20.00	80.00
7.44123	7	44123	R	7	85.71	14.29
7.16438	7	16438	R	6	0.00	100.00
7.30880	7	30880	R	7	0.00	100.00
7.59988	7	59988	R	14	78.57	21.43
7.21339	7	21339	R	10	100.00	0.00
7.28875	7	28875	R	5	20.00	80.00
7.10863	7	10863	R	6	66.67	33.33
7.16481	7	16481	R	5	0.00	100.00
7.13524	7	13524	F	7	42.86	57.14
7.16705	7	16705	R	5	20.00	80.00
7.39714	7	39714	R	6	83.33	16.67
7.13496	7	13496	F	7	14.29	85.71
7.46629	7	46629	R	6	100.00	0.00
7.14107	7	14107	F	9	44.44	55.56
7.15202	7	15202	R	7	42.86	57.14
7.25617	7	25617	R	15	0.00	100.00
7.25669	7	25669	R	12	0.00	100.00
7.45609	7	45609	F	8	87.50	12.50
7.42251	7	42251	R	7	71.43	28.57
7.42256	7	42256	R	7	85.71	14.29
7.52332	7	52332	F	6	66.67	33.33
7.43439	7	43439	R	11	54.55	45.45
7.14311	7	14311	F	7	42.86	57.14
7.13115	7	13115	F	6	83.33	16.67
7.14886	7	14886	R	6	33.33	66.67
7.40959	7	40959	R	9	77.78	22.22
7.13245	7	13245	R	6	66.67	33.33
7.20380	7	20380	R	5	80.00	20.00
7.21022	7	21022	R	11	36.36	63.64
7.30673	7	30673	R	6	0.00	100.00
7.40647	7	40647	R	7	100.00	0.00
7.37958	7	37958	R	6	50.00	50.00
7.14481	7	14481	R	5	40.00	60.00
7.35303	7	35303	R	5	60.00	40.00
7.58891	7	58891	R	5	100.00	0.00
7.54788	7	54788	R	5	20.00	80.00
7.11042	7	11042	F	12	58.33	41.67
7.27533	7	27533	R	6	100.00	0.00
7.36459	7	36459	F	7	14.29	85.71
7.36187	7	36187	F	8	25.00	75.00
7.14079	7	14079	F	12	75.00	25.00
7.30366	7	30366	R	6	0.00	100.00
7.18120	7	18120	R	5	80.00	20.00
7.52230	7	52230	F	8	50.00	50.00
7.57597	7	57597	R	7	42.86	57.14
7.14252	7	14252	F	7	42.86	57.14
7.20462	7	20462	R	8	100.00	0.00
7.18103	7	18103	R	7	42.86	57.14
7.40401	7	40401	R	5	80.00	20.00
7.14030	7	14030	R	6	50.00	50.00
7.13253	7	13253	R	6	0.00	100.00
7.45319	7	45319	F	6	50.00	50.00
7.39610	7	39610	R	9	88.89	11.11
7.20782	7	20782	R	10	100.00	0.00
7.15230	7	15230	R	7	42.86	57.14
7.14375	7	14375	R	5	20.00	80.00
7.36221	7	36221	F	5	0.00	100.00
7.31032	7	31032	R	5	0.00	100.00
7.34616	7	34616	R	7	71.43	28.57
7.30676	7	30676	R	7	0.00	100.00
7.17389	7	17389	R	11	100.00	0.00
7.15250	7	15250	R	5	20.00	80.00
7.16876	7	16876	R	5	0.00	100.00
7.14309	7	14309	F	6	33.33	66.67
7.13595	7	13595	F	9	0.00	100.00
7.13808	7	13808	F	5	40.00	60.00
7.10409	7	10409	F	8	37.50	62.50
7.54511	7	54511	R	7	57.14	42.86
7.14029	7	14029	F	7	42.86	57.14
7.13912	7	13912	F	7	28.57	71.43
7.54274	7	54274	R	7	71.43	28.57
7.60920	7	60920	R	11	100.00	0.00
7.30876	7	30876	R	8	0.00	100.00
7.60318	7	60318	R	6	100.00	0.00
7.16781	7	16781	F	6	0.00	100.00
7.21135	7	21135	R	7	100.00	0.00
7.15845	7	15845	R	5	0.00	100.00
7.51571	7	51571	R	16	50.00	50.00
