chrBase	chr	base	strand	coverage	freqC	freqT
7.14283	7	14283	F	7	57.14	42.86
7.13413	7	13413	R	5	40.00	60.00
7.20107	7	20107	R	6	66.67	33.33
7.15255	7	15255	F	8	62.50	37.50
7.32050	7	32050	R	6	50.00	50.00
7.13544	7	13544	F	6	83.33	16.67
7.16986	7	16986	R	5	100.00	0.00
7.16201	7	16201	R	5	0.00	100.00
7.20935	7	20935	R	14	85.71	14.29
7.14154	7	14154	F	5	20.00	80.00
7.14592	7	14592	F	5	20.00	80.00
7.14029	7	14029	F	7	42.86	57.14
7.14303	7	14303	F	7	100.00	0.00
7.11012	7	11012	F	30	66.67	33.33
7.13328	7	13328	F	5	80.00	20.00
7.14224	7	14224	F	6	50.00	50.00
7.14753	7	14753	F	5	20.00	80.00
7.14280	7	14280	F	7	100.00	0.00
7.18031	7	18031	R	7	100.00	0.00
7.16236	7	16236	F	7	14.29	85.71
7.20892	7	20892	R	11	90.91	9.09
7.14011	7	14011	R	7	28.57	71.43
7.31451	7	31451	R	7	85.71	14.29
7.13996	7	13996	R	8	62.50	37.50
7.13745	7	13745	F	6	83.33	16.67
7.25576	7	25576	R	25	0.00	100.00
7.14374	7	14374	F	9	33.33	66.67
7.17010	7	17010	R	6	83.33	16.67
7.10901	7	10901	F	8	87.50	12.50
7.13412	7	13412	F	5	100.00	0.00
7.13759	7	13759	F	5	20.00	80.00
7.27425	7	27425	R	6	83.33	16.67
7.15472	7	15472	F	5	40.00	60.00
7.14618	7	14618	F	5	60.00	40.00
7.14290	7	14290	F	7	71.43	28.57
7.27150	7	27150	R	11	100.00	0.00
7.17501	7	17501	R	15	60.00	40.00
7.31453	7	31453	R	7	85.71	14.29
7.13892	7	13892	F	8	50.00	50.00
7.12136	7	12136	F	10	100.00	0.00
7.13939	7	13939	F	11	54.55	45.45
7.15017	7	15017	F	5	20.00	80.00
7.14001	7	14001	F	6	83.33	16.67
7.25669	7	25669	R	18	0.00	100.00
7.20494	7	20494	R	5	80.00	20.00
7.33616	7	33616	R	7	100.00	0.00
7.16047	7	16047	F	6	16.67	83.33
7.28312	7	28312	R	11	45.45	54.55
7.21365	7	21365	R	8	100.00	0.00
7.30986	7	30986	R	5	20.00	80.00
7.14471	7	14471	F	5	80.00	20.00
7.15996	7	15996	F	6	0.00	100.00
7.14751	7	14751	F	5	20.00	80.00
7.13511	7	13511	F	8	37.50	62.50
7.33636	7	33636	R	6	66.67	33.33
7.31062	7	31062	R	6	0.00	100.00
7.28231	7	28231	R	8	62.50	37.50
7.14205	7	14205	R	5	20.00	80.00
7.18103	7	18103	R	8	50.00	50.00
7.15487	7	15487	F	5	40.00	60.00
7.13362	7	13362	F	5	80.00	20.00
7.15010	7	15010	F	5	20.00	80.00
7.15257	7	15257	F	8	25.00	75.00
7.14564	7	14564	F	5	60.00	40.00
7.10894	7	10894	F	7	85.71	14.29
7.14168	7	14168	F	6	83.33	16.67
7.14052	7	14052	R	11	45.45	54.55
7.10418	7	10418	F	5	60.00	40.00
7.15416	7	15416	F	5	60.00	40.00
7.15480	7	15480	F	5	40.00	60.00
7.17474	7	17474	R	15	73.33	26.67
7.14613	7	14613	F	5	40.00	60.00
7.14051	7	14051	F	6	50.00	50.00
7.14725	7	14725	F	6	33.33	66.67
7.14234	7	14234	R	5	60.00	40.00
7.14480	7	14480	F	6	66.67	33.33
7.20877	7	20877	R	11	81.82	18.18
7.21086	7	21086	R	6	83.33	16.67
7.14254	7	14254	F	10	40.00	60.00
7.34408	7	34408	R	8	37.50	62.50
7.14238	7	14238	F	8	62.50	37.50
7.14393	7	14393	F	9	44.44	55.56
7.28609	7	28609	R	8	87.50	12.50
7.14178	7	14178	R	6	16.67	83.33
7.16262	7	16262	F	8	12.50	87.50
7.18267	7	18267	R	6	100.00	0.00
7.23381	7	23381	F	5	0.00	100.00
7.20845	7	20845	R	13	69.23	30.77
7.33979	7	33979	R	8	87.50	12.50
7.19721	7	19721	R	9	77.78	22.22
7.14031	7	14031	F	7	14.29	85.71
7.30683	7	30683	R	5	0.00	100.00
7.14016	7	14016	R	10	20.00	80.00
7.16004	7	16004	F	8	12.50	87.50
7.13356	7	13356	F	5	100.00	0.00
7.13814	7	13814	F	6	33.33	66.67
7.13483	7	13483	F	9	11.11	88.89
7.14010	7	14010	F	6	0.00	100.00
7.21339	7	21339	R	12	100.00	0.00
7.13349	7	13349	R	9	33.33	66.67
7.14015	7	14015	F	7	0.00	100.00
7.13496	7	13496	F	8	75.00	25.00
7.14485	7	14485	F	5	20.00	80.00
7.25730	7	25730	R	7	0.00	100.00
7.13689	7	13689	F	5	100.00	0.00
7.16855	7	16855	R	6	0.00	100.00
7.34495	7	34495	R	7	0.00	100.00
7.14204	7	14204	F	5	40.00	60.00
7.30871	7	30871	R	6	0.00	100.00
7.13288	7	13288	R	5	80.00	20.00
7.27075	7	27075	R	10	60.00	40.00
7.13344	7	13344	R	9	22.22	77.78
7.20816	7	20816	R	9	44.44	55.56
7.13834	7	13834	F	5	60.00	40.00
7.28134	7	28134	R	5	60.00	40.00
7.20566	7	20566	R	8	87.50	12.50
7.15460	7	15460	R	6	16.67	83.33
7.12321	7	12321	F	12	75.00	25.00
7.13440	7	13440	F	8	12.50	87.50
7.26735	7	26735	R	5	40.00	60.00
7.21079	7	21079	R	6	100.00	0.00
7.30844	7	30844	R	6	0.00	100.00
7.21022	7	21022	R	9	88.89	11.11
7.20059	7	20059	R	7	42.86	57.14
7.13502	7	13502	F	7	14.29	85.71
7.33804	7	33804	R	5	40.00	60.00
7.16045	7	16045	F	5	0.00	100.00
7.21655	7	21655	R	14	7.14	92.86
7.14443	7	14443	F	9	77.78	22.22
7.13268	7	13268	R	6	50.00	50.00
7.34531	7	34531	R	7	14.29	85.71
7.13931	7	13931	F	12	33.33	66.67
7.17004	7	17004	R	5	100.00	0.00
7.14030	7	14030	R	11	27.27	72.73
