chrBase	chr	base	strand	coverage	freqC	freqT
7.15054	7	15054	R	5	0.00	100.00
7.16431	7	16431	R	5	20.00	80.00
7.13945	7	13945	F	9	33.33	66.67
7.16237	7	16237	R	7	0.00	100.00
7.19039	7	19039	F	6	100.00	0.00
7.16445	7	16445	R	5	20.00	80.00
7.17550	7	17550	R	11	81.82	18.18
7.13252	7	13252	F	5	60.00	40.00
7.14303	7	14303	F	5	60.00	40.00
7.13362	7	13362	F	6	100.00	0.00
7.13559	7	13559	R	5	60.00	40.00
7.13661	7	13661	F	5	0.00	100.00
7.13973	7	13973	F	6	50.00	50.00
7.15380	7	15380	F	5	0.00	100.00
7.13539	7	13539	F	8	75.00	25.00
7.15375	7	15375	F	5	0.00	100.00
7.11012	7	11012	F	6	50.00	50.00
7.14395	7	14395	F	7	71.43	28.57
7.16412	7	16412	R	5	0.00	100.00
7.13981	7	13981	F	6	66.67	33.33
7.14620	7	14620	F	6	66.67	33.33
7.14592	7	14592	F	6	50.00	50.00
7.14196	7	14196	F	5	100.00	0.00
7.14667	7	14667	F	7	57.14	42.86
7.14115	7	14115	F	10	60.00	40.00
7.14141	7	14141	F	8	87.50	12.50
7.16433	7	16433	R	5	20.00	80.00
7.15313	7	15313	F	5	20.00	80.00
7.13931	7	13931	F	8	50.00	50.00
7.16467	7	16467	F	6	0.00	100.00
7.14872	7	14872	F	6	50.00	50.00
7.15688	7	15688	F	5	20.00	80.00
7.14947	7	14947	F	9	33.33	66.67
7.14898	7	14898	F	8	37.50	62.50
7.14605	7	14605	F	7	42.86	57.14
7.13809	7	13809	R	5	40.00	60.00
7.10901	7	10901	F	8	87.50	12.50
7.13788	7	13788	R	6	66.67	33.33
7.13967	7	13967	F	6	66.67	33.33
7.13704	7	13704	F	6	83.33	16.67
7.14029	7	14029	F	6	33.33	66.67
7.13828	7	13828	F	5	80.00	20.00
7.18382	7	18382	R	6	66.67	33.33
7.14674	7	14674	F	6	0.00	100.00
7.14374	7	14374	F	7	42.86	57.14
7.13427	7	13427	F	5	40.00	60.00
7.16789	7	16789	F	9	11.11	88.89
7.14891	7	14891	F	8	37.50	62.50
7.16770	7	16770	F	8	12.50	87.50
7.14913	7	14913	F	8	62.50	37.50
7.14290	7	14290	F	5	20.00	80.00
7.14648	7	14648	F	9	22.22	77.78
7.13392	7	13392	F	6	16.67	83.33
7.16403	7	16403	R	5	20.00	80.00
7.14458	7	14458	F	6	100.00	0.00
7.10862	7	10862	F	6	66.67	33.33
7.14038	7	14038	F	6	66.67	33.33
7.18310	7	18310	R	5	60.00	40.00
7.14990	7	14990	R	5	20.00	80.00
7.13856	7	13856	F	8	87.50	12.50
7.13781	7	13781	R	6	50.00	50.00
7.14653	7	14653	F	8	37.50	62.50
7.14961	7	14961	F	6	16.67	83.33
7.13912	7	13912	F	7	71.43	28.57
7.13843	7	13843	F	6	33.33	66.67
7.13412	7	13412	F	5	80.00	20.00
7.13537	7	13537	F	8	25.00	75.00
7.13540	7	13540	R	5	60.00	40.00
7.14885	7	14885	F	6	16.67	83.33
7.16761	7	16761	F	8	12.50	87.50
7.16508	7	16508	F	6	0.00	100.00
7.14471	7	14471	F	5	100.00	0.00
7.14569	7	14569	F	6	33.33	66.67
7.16819	7	16819	F	9	0.00	100.00
7.15011	7	15011	R	5	0.00	100.00
7.13862	7	13862	F	8	87.50	12.50
7.10902	7	10902	R	5	100.00	0.00
7.16425	7	16425	R	5	40.00	60.00
7.13586	7	13586	F	7	57.14	42.86
7.14387	7	14387	F	7	71.43	28.57
7.16776	7	16776	F	9	11.11	88.89
7.13211	7	13211	R	6	33.33	66.67
7.18108	7	18108	R	10	80.00	20.00
7.14359	7	14359	F	7	85.71	14.29
7.14421	7	14421	F	7	71.43	28.57
7.15264	7	15264	F	5	0.00	100.00
7.14625	7	14625	F	7	71.43	28.57
7.16235	7	16235	R	7	0.00	100.00
7.15034	7	15034	R	5	0.00	100.00
7.16521	7	16521	F	5	0.00	100.00
7.16459	7	16459	R	5	20.00	80.00
7.17501	7	17501	R	17	64.71	35.29
7.15311	7	15311	F	6	16.67	83.33
7.14154	7	14154	F	9	33.33	66.67
7.15318	7	15318	F	5	0.00	100.00
7.16767	7	16767	F	8	12.50	87.50
7.15333	7	15333	F	7	14.29	85.71
7.14031	7	14031	F	5	80.00	20.00
7.14984	7	14984	F	5	0.00	100.00
7.18958	7	18958	F	6	83.33	16.67
7.15683	7	15683	F	5	20.00	80.00
7.16209	7	16209	R	7	14.29	85.71
7.13504	7	13504	F	6	83.33	16.67
7.13947	7	13947	F	9	66.67	33.33
7.14162	7	14162	F	10	70.00	30.00
7.14508	7	14508	F	5	40.00	60.00
7.14135	7	14135	F	8	75.00	25.00
7.13209	7	13209	R	6	16.67	83.33
7.14613	7	14613	F	7	57.14	42.86
7.14443	7	14443	F	7	71.43	28.57
7.19054	7	19054	F	7	100.00	0.00
7.13320	7	13320	F	5	40.00	60.00
7.11088	7	11088	F	12	75.00	25.00
7.13502	7	13502	F	6	33.33	66.67
7.14309	7	14309	F	5	60.00	40.00
7.14928	7	14928	F	9	11.11	88.89
7.13918	7	13918	F	6	50.00	50.00
7.14709	7	14709	F	5	20.00	80.00
7.14071	7	14071	F	6	66.67	33.33
7.14521	7	14521	F	5	80.00	20.00
7.13995	7	13995	F	6	66.67	33.33
7.13483	7	13483	F	5	40.00	60.00
7.13524	7	13524	F	7	85.71	14.29
7.16397	7	16397	R	5	0.00	100.00
7.16229	7	16229	R	7	0.00	100.00
7.17474	7	17474	R	12	100.00	0.00
7.13393	7	13393	R	5	0.00	100.00
7.13717	7	13717	F	6	50.00	50.00
7.13369	7	13369	F	6	16.67	83.33
7.18045	7	18045	R	7	100.00	0.00
7.14295	7	14295	F	5	20.00	80.00
7.13892	7	13892	F	8	62.50	37.50
7.13558	7	13558	F	6	33.33	66.67
7.14985	7	14985	R	5	0.00	100.00
7.12261	7	12261	F	7	71.43	28.57
7.13954	7	13954	F	8	0.00	100.00
7.14919	7	14919	F	8	50.00	50.00
7.14057	7	14057	F	5	100.00	0.00
7.13975	7	13975	F	6	50.00	50.00
7.13488	7	13488	F	5	80.00	20.00
7.16389	7	16389	R	6	16.67	83.33
7.14661	7	14661	F	8	62.50	37.50
7.16461	7	16461	R	5	20.00	80.00
7.17264	7	17264	R	6	0.00	100.00
7.14641	7	14641	F	6	66.67	33.33
7.13890	7	13890	F	8	25.00	75.00
7.13552	7	13552	F	7	85.71	14.29
7.14697	7	14697	F	7	28.57	71.43
7.16847	7	16847	F	7	0.00	100.00
7.13829	7	13829	R	5	60.00	40.00
7.14023	7	14023	F	7	85.71	14.29
7.12199	7	12199	F	5	60.00	40.00
7.16795	7	16795	F	9	11.11	88.89
7.18267	7	18267	R	7	100.00	0.00
7.14501	7	14501	F	5	60.00	40.00
7.13615	7	13615	R	5	40.00	60.00
7.14367	7	14367	F	7	71.43	28.57
7.14689	7	14689	F	7	42.86	57.14
7.13801	7	13801	R	6	50.00	50.00
7.15040	7	15040	R	5	0.00	100.00
7.13496	7	13496	F	5	100.00	0.00
7.14618	7	14618	F	7	71.43	28.57
7.13834	7	13834	F	7	71.43	28.57
7.13595	7	13595	F	7	14.29	85.71
7.15060	7	15060	R	5	0.00	100.00
7.14391	7	14391	F	7	85.71	14.29
7.13581	7	13581	R	5	80.00	20.00
7.14402	7	14402	F	6	66.67	33.33
7.17677	7	17677	R	13	69.23	30.77
7.14079	7	14079	F	6	100.00	0.00
7.15297	7	15297	F	5	20.00	80.00
7.14977	7	14977	F	5	0.00	100.00
7.14723	7	14723	F	5	40.00	60.00
7.17790	7	17790	R	7	71.43	28.57
7.18418	7	18418	R	7	57.14	42.86
7.16564	7	16564	F	5	0.00	100.00
7.16480	7	16480	F	6	0.00	100.00
7.16803	7	16803	F	9	0.00	100.00
7.13511	7	13511	F	5	40.00	60.00
7.13530	7	13530	F	8	75.00	25.00
7.15036	7	15036	R	6	16.67	83.33
7.14562	7	14562	F	5	60.00	40.00
7.13572	7	13572	F	7	42.86	57.14
7.14611	7	14611	F	7	85.71	14.29
7.13653	7	13653	F	5	0.00	100.00
7.14676	7	14676	F	6	16.67	83.33
7.14283	7	14283	F	5	40.00	60.00
7.14863	7	14863	F	5	40.00	60.00
7.14415	7	14415	F	8	75.00	25.00
7.13390	7	13390	F	5	60.00	40.00
7.17705	7	17705	R	15	93.33	6.67
7.15394	7	15394	F	5	0.00	100.00
7.14704	7	14704	F	6	0.00	100.00
7.13926	7	13926	F	8	37.50	62.50
7.13420	7	13420	F	5	80.00	20.00
7.13725	7	13725	F	5	80.00	20.00
7.13328	7	13328	F	5	60.00	40.00
7.17554	7	17554	R	10	0.00	100.00
7.14869	7	14869	F	5	20.00	80.00
7.13608	7	13608	F	6	33.33	66.67
7.14794	7	14794	R	5	0.00	100.00
7.10506	7	10506	F	8	37.50	62.50
7.16523	7	16523	F	5	0.00	100.00
7.13681	7	13681	F	5	60.00	40.00
7.13232	7	13232	R	5	40.00	60.00
7.14717	7	14717	F	6	33.33	66.67
7.15341	7	15341	F	7	0.00	100.00
7.15361	7	15361	F	5	0.00	100.00
7.16453	7	16453	R	5	20.00	80.00
7.13723	7	13723	F	6	66.67	33.33
7.13676	7	13676	F	6	0.00	100.00
7.13614	7	13614	F	6	16.67	83.33
7.16514	7	16514	F	5	0.00	100.00
7.15305	7	15305	F	6	16.67	83.33
7.13356	7	13356	F	6	100.00	0.00
7.14122	7	14122	F	10	70.00	30.00
7.13871	7	13871	F	9	77.78	22.22
7.13580	7	13580	F	6	50.00	50.00
7.14451	7	14451	F	6	66.67	33.33
7.15018	7	15018	R	5	0.00	100.00
7.13244	7	13244	F	5	60.00	40.00
7.16249	7	16249	R	6	0.00	100.00
7.14933	7	14933	F	9	44.44	55.56
7.12136	7	12136	F	6	100.00	0.00
7.10894	7	10894	F	8	87.50	12.50
7.18465	7	18465	R	6	100.00	0.00
7.14113	7	14113	F	10	80.00	20.00
7.13807	7	13807	R	5	40.00	60.00
7.13544	7	13544	F	8	62.50	37.50
7.15339	7	15339	F	7	0.00	100.00
7.13229	7	13229	R	5	20.00	80.00
7.19050	7	19050	F	7	100.00	0.00
7.13939	7	13939	F	8	62.50	37.50
7.17448	7	17448	R	8	87.50	12.50
7.14430	7	14430	F	6	66.67	33.33
7.14331	7	14331	F	6	83.33	16.67
7.15320	7	15320	F	6	0.00	100.00
7.13587	7	13587	R	5	80.00	20.00
7.16201	7	16201	R	5	0.00	100.00
7.14177	7	14177	F	9	22.22	77.78
7.14311	7	14311	F	5	60.00	40.00
