Chromosome	Position	Coverage	# methylated	% methylated
1	75864	16	16	100
1	75870	16	14	87.5
1	75873	16	15	93.7
1	75904	16	13	81.2
1	75916	16	13	81.2
1	116007	23	20	86.9
1	116025	23	20	86.9
1	116030	23	21	91.3
1	116055	14	13	92.8
1	138313	10	9	90
1	138321	10	9	90
1	138359	10	9	90
1	153901	11	10	90.9
1	153919	11	11	100
1	153930	10	9	90
1	166251	10	9	90
1	176383	10	7	70
1	176434	13	12	92.3
1	178480	13	4	30.7
1	178484	13	4	30.7
1	178489	13	4	30.7
1	178492	13	4	30.7
1	178504	12	1	8.3
1	178507	12	2	16.6
1	178525	12	5	41.6
1	178528	13	4	30.7
1	178531	13	6	46.1
1	178540	13	4	30.7
1	178545	13	5	38.4
1	178549	13	1	7.6
1	178553	13	7	53.8
1	178573	13	0	0
1	178588	13	1	7.6
1	178595	12	3	25
1	178598	15	3	20
1	178607	15	5	33.3
1	178619	15	1	6.6
1	178627	15	1	6.6
1	178630	15	3	20
1	178645	15	1	6.6
1	178877	11	2	18.1
1	178880	21	2	9.5
1	178895	21	1	4.7
1	178930	21	0	0
1	178935	11	0	0
1	178948	12	0	0
1	178958	12	1	8.3
1	178967	12	0	0
1	178970	12	0	0
1	178978	12	1	8.3
1	178985	12	0	0
1	178997	12	0	0
1	179008	12	0	0
1	179024	12	1	8.3
1	179030	12	1	8.3
1	179038	12	1	8.3
1	179057	12	0	0
1	179060	23	0	0
1	179071	22	2	9
1	179077	22	1	4.5
1	179090	22	1	4.5
1	179098	22	1	4.5
1	179107	22	1	4.5
1	179120	22	2	9
1	179126	20	0	0
1	179131	25	0	0
1	179137	25	0	0
1	179150	25	3	12
1	179158	25	0	0
1	179167	25	1	4
1	179180	25	0	0
1	179187	14	1	7.1
1	179246	12	0	0
1	179253	12	0	0
1	179265	12	0	0
1	179267	12	0	0
1	179279	12	0	0
1	179295	12	1	8.3
1	179310	12	0	0
1	179518	12	0	0
1	179525	12	0	0
1	179531	12	0	0
