Chromosome	Position	Coverage	# methylated	% methylated
1	20108	10	1	10
1	20177	17	0	0
1	20191	17	1	5.8
1	20234	17	0	0
1	20249	17	0	0
1	58653	13	12	92.3
1	58757	34	18	52.9
1	58816	22	20	90.9
1	75843	16	15	93.7
1	75864	28	28	100
1	75870	28	26	92.8
1	75873	28	26	92.8
1	75904	28	24	85.7
1	75916	28	26	92.8
1	75957	12	10	83.3
1	116007	12	10	83.3
1	116025	12	9	75
1	116030	12	6	50
1	138312	18	17	94.4
1	138320	18	14	77.7
1	138359	14	13	92.8
1	139630	12	11	91.6
1	139675	12	12	100
1	166151	21	21	100
1	166251	16	16	100
1	176434	11	11	100
1	178416	21	0	0
1	178438	21	0	0
1	178453	21	0	0
1	178466	18	0	0
1	178480	13	0	0
1	178484	13	0	0
1	178489	13	0	0
1	178492	13	0	0
1	178504	13	0	0
1	178507	13	0	0
1	178525	13	0	0
1	178528	13	0	0
1	178531	13	0	0
1	178540	12	0	0
1	178545	12	0	0
1	178549	12	0	0
1	178553	12	0	0
1	178573	12	0	0
1	178588	13	0	0
1	178595	13	0	0
1	178598	11	0	0
1	178655	10	0	0
1	178666	10	0	0
1	178880	17	0	0
1	178895	16	0	0
1	178930	17	0	0
1	178935	18	0	0
1	178948	28	0	0
1	178958	28	0	0
1	178967	28	0	0
1	178970	28	0	0
1	178978	28	0	0
1	178985	28	0	0
1	178997	28	1	3.5
1	179008	28	0	0
1	179024	28	0	0
1	179030	28	0	0
1	179038	28	0	0
1	179057	28	0	0
1	179060	20	0	0
1	179071	14	0	0
1	179077	14	0	0
1	179090	14	0	0
1	179107	14	0	0
1	179120	14	0	0
1	179126	19	0	0
1	179131	18	0	0
1	179137	18	0	0
1	179150	18	0	0
1	179158	18	0	0
1	179167	18	0	0
1	179180	18	1	5.5
1	179187	11	0	0
1	179245	11	0	0
1	179252	11	0	0
1	179264	10	0	0
1	179278	10	0	0
1	179294	11	0	0
1	179360	19	0	0
1	179365	19	1	5.2
1	179369	19	1	5.2
1	179372	19	0	0
1	179386	18	0	0
1	179392	15	0	0
1	179407	17	0	0
1	179420	18	0	0
1	179425	18	0	0
1	179431	19	0	0
1	179436	19	0	0
1	179443	19	0	0
1	179458	19	0	0
1	179663	11	0	0
1	179670	11	0	0
1	179676	11	0	0
1	179683	11	0	0
1	179699	11	0	0
1	179775	13	0	0
1	179782	13	0	0
1	179791	13	0	0
1	179794	13	0	0
1	179804	13	0	0
1	179817	13	0	0
1	179847	11	0	0
1	179850	11	0	0
1	179858	11	0	0
1	179863	11	0	0
1	179870	11	0	0
1	179879	11	0	0
1	179900	11	1	9
1	179903	11	0	0
1	180117	11	0	0
1	180135	11	0	0
1	180149	11	0	0
1	180167	10	0	0
1	180179	10	0	0
1	180220	11	0	0
1	193659	23	18	78.2
1	193669	34	29	85.2
1	193679	37	33	89.1
1	193724	37	25	67.5
1	193749	18	16	88.8
1	208123	11	11	100
1	208170	25	23	92
1	208256	18	18	100
1	214441	13	13	100
1	214488	29	29	100
1	214562	25	25	100
1	214567	30	30	100
1	214593	30	12	40
1	214655	24	24	100
1	242020	22	0	0
1	242033	22	0	0
1	242037	22	0	0
1	242051	22	0	0
1	242116	11	0	0
1	242126	11	0	0
1	242133	22	0	0
1	242145	22	0	0
1	242175	22	0	0
1	242182	19	0	0
1	242197	11	0	0
1	242322	11	0	0
1	242328	25	0	0
1	242331	25	0	0
1	242345	25	1	4
1	242348	25	0	0
1	242361	25	0	0
1	242374	25	0	0
1	242384	25	0	0
1	242392	25	0	0
1	242419	14	0	0
1	242430	12	0	0
1	242435	12	0	0
1	242438	12	0	0
1	242442	12	0	0
1	242447	12	0	0
1	242451	12	0	0
1	242456	12	0	0
1	242462	11	0	0
1	242477	12	0	0
1	242482	12	0	0
1	242490	12	0	0
1	242501	12	0	0
1	242507	12	0	0
1	242511	22	0	0
1	242517	27	0	0
1	242520	27	0	0
1	242526	27	0	0
1	242532	27	0	0
1	242553	27	0	0
1	242592	26	1	3.8
1	242601	26	0	0
1	242618	27	1	3.7
1	242628	27	0	0
1	242634	27	0	0
1	242645	11	0	0
1	242864	14	0	0
1	242869	24	0	0
1	242880	24	0	0
1	242946	24	0	0
1	242949	24	0	0
1	242962	24	0	0
1	242968	28	0	0
1	242997	23	1	4.3
1	243012	23	0	0
1	243016	23	0	0
1	252480	16	16	100
1	252605	11	10	90.9
1	264936	18	18	100
1	264944	26	25	96.1
1	264968	26	26	100
1	264994	26	26	100
1	265892	21	21	100
1	265928	32	32	100
1	265944	32	22	68.7
1	265976	31	30	96.7
1	266012	24	23	95.8
1	266046	17	17	100
1	266094	17	16	94.1
1	266126	17	17	100
1	271284	19	19	100
1	271418	11	10	90.9
1	279761	14	14	100
1	279793	30	29	96.6
1	279803	30	30	100
1	279824	30	29	96.6
1	279833	16	16	100
1	281379	10	10	100
1	281388	10	9	90
1	305157	12	12	100
1	311756	20	20	100
1	311820	27	27	100
1	311829	16	16	100
1	311910	16	5	31.2
1	311941	16	16	100
1	329096	11	6	54.5
1	329374	11	11	100
1	339497	10	9	90
1	339604	11	10	90.9
1	353310	16	15	93.7
1	353317	16	16	100
1	353350	16	16	100
1	353364	16	16	100
1	356451	11	11	100
1	356460	11	10	90.9
1	356469	11	0	0
1	363044	12	11	91.6
1	363066	19	19	100
1	363168	19	19	100
1	364378	10	5	50
1	364520	10	10	100
1	364540	10	10	100
1	370616	16	1	6.2
1	370633	33	1	3
1	370640	33	2	6
1	370666	33	2	6
1	370702	31	1	3.2
1	370716	33	0	0
1	370737	27	1	3.7
1	370770	17	2	11.7
1	370794	17	0	0
1	370806	16	1	6.2
1	370928	17	2	11.7
1	371651	21	20	95.2
1	371750	41	38	92.6
1	371790	26	25	96.1
1	387907	10	9	90
1	387924	24	16	66.6
1	387936	24	24	100
1	387972	24	24	100
1	388035	14	14	100
1	397645	10	10	100
1	401115	12	0	0
1	401119	12	0	0
1	401131	11	0	0
1	401136	12	0	0
1	401149	12	0	0
1	401158	12	0	0
1	401162	12	0	0
1	401167	12	0	0
1	401172	12	0	0
1	401185	12	0	0
1	401189	12	0	0
1	401201	12	0	0
1	401222	12	0	0
1	401226	12	0	0
1	401233	12	0	0
1	401242	12	0	0
1	401247	12	0	0
1	404613	17	17	100
1	404682	24	24	100
1	404712	10	9	90
1	407100	10	10	100
1	407137	17	15	88.2
1	407181	16	16	100
1	407216	16	16	100
1	414070	10	0	0
1	429243	12	10	83.3
1	429272	24	22	91.6
1	429311	24	24	100
1	429378	13	12	92.3
1	466200	13	13	100
1	466308	14	14	100
1	466333	16	15	93.7
1	466340	12	12	100
1	466364	12	12	100
1	466367	12	12	100
1	466484	12	12	100
1	466498	12	12	100
1	466536	10	2	20
1	476675	10	1	10
1	476812	10	10	100
1	478775	20	0	0
1	478779	27	0	0
1	478784	28	1	3.5
1	478797	28	0	0
1	478815	28	0	0
1	478823	28	0	0
1	478833	28	0	0
1	478849	28	0	0
1	478855	28	0	0
1	478860	28	0	0
1	478868	28	0	0
1	478902	10	0	0
1	478909	21	0	0
1	478918	21	0	0
1	478921	20	0	0
1	478924	21	0	0
1	478945	21	0	0
1	478962	21	0	0
1	478968	22	0	0
1	478996	22	0	0
1	479011	22	1	4.5
1	479016	22	0	0
1	479026	22	1	4.5
1	479031	22	0	0
1	479038	17	0	0
1	479086	10	0	0
1	479094	10	0	0
1	479110	10	0	0
1	479116	10	0	0
1	479129	10	0	0
1	479144	10	0	0
1	479159	10	0	0
1	479164	10	0	0
1	479174	10	1	10
1	479179	10	0	0
1	479183	10	0	0
1	479285	11	0	0
1	479290	22	0	0
1	479301	23	0	0
1	479305	23	0	0
1	479345	23	0	0
1	479354	13	0	0
1	497844	12	12	100
1	497858	12	12	100
1	497873	12	12	100
1	500262	12	10	83.3
1	500286	12	10	83.3
1	500325	12	12	100
1	500336	11	11	100
1	509666	18	18	100
1	509748	18	18	100
1	509753	11	11	100
1	533239	13	12	92.3
1	533259	11	11	100
1	535439	15	15	100
1	535487	22	22	100
1	535539	22	22	100
1	536149	21	21	100
1	536227	17	17	100
1	539246	12	12	100
1	558906	13	4	30.7
1	558926	21	3	14.2
1	558993	21	2	9.5
1	559016	18	1	5.5
1	559048	11	1	9
1	559056	11	0	0
1	559172	10	0	0
1	564794	16	2	12.5
1	564822	31	1	3.2
1	564919	24	2	8.3
1	564984	13	4	30.7
1	565059	13	2	15.3
1	565075	13	3	23
1	565088	13	2	15.3
1	565113	13	3	23
1	565123	13	2	15.3
1	584743	12	11	91.6
1	584749	12	11	91.6
1	584758	12	12	100
1	598772	12	12	100
1	598868	18	18	100
1	598934	18	18	100
1	623473	20	18	90
1	623656	15	15	100
1	623975	13	13	100
1	623993	13	5	38.4
1	624023	11	10	90.9
1	650689	14	14	100
1	655112	15	15	100
1	655125	23	22	95.6
1	655139	23	22	95.6
1	655144	23	23	100
1	664911	10	10	100
1	667101	15	15	100
1	667107	16	16	100
1	667118	16	16	100
1	667128	16	16	100
1	667133	16	16	100
1	667144	16	16	100
1	667153	16	15	93.7
1	667198	16	15	93.7
1	667201	16	15	93.7
1	680428	10	10	100
1	680436	21	21	100
1	680454	21	21	100
1	680466	21	21	100
1	680493	12	12	100
1	681582	13	13	100
1	681616	20	18	90
1	681628	20	19	95
1	681641	19	18	94.7
1	681685	19	19	100
1	684344	11	11	100
1	684456	21	21	100
1	684471	11	11	100
1	709693	14	13	92.8
